# -*- ck2.landed_titles -*-

# HOLY ORDERS
d_knights_templar = { # Knights Templar
	color = { 230 230 230 }
				#	norwegian = "Tottborg"
				#	danish = "Tottburgh"
				#	swedish = "Tottborg"
				#	anglonorse = "Tottborg"
				#	gothic = "Tottborg"
				#	norse = "Tottborg"
				#	norsegaelic = "Tottborg"
				#	icelandic = "Tottborg"
				#	saxon = "Tottburh"
				#}
				#b_chartley = {}
			} # end c_stafford
		} # end d_hereford
		d_bedford = { # Middle Anglia
			color = { 205 196 121 }
			color2 = { 255 255 255 }
			capital = 69 # Bedford
			english = "Bedford"
			norwegian = "Miðængle"
			danish = "Miðængle"
			swedish = "Miðængle"
			anglonorse = "Middelengle"
			gothic = "Miðængle"
			norse = "Miðængle"
			norsegaelic = "Miðængle"
			icelandic = "Miðængle"
			saxon = "Middelengle"
			welsh = "Calchwynedd"
			cumbric = "Calchwynedd"
			irish = "Cynwidion"
			breton = "Cynwidion"
			scottish = "Cynwidion"
			cornish = "Cynwidion"
			c_northampton = { # Northampton (68)
				color = { 241 25 25 }
				color2 = { 255 255 255 }
				norwegian = "Norðhamtun"
				danish = "Norðhamtun"
				swedish = "Norðhamtun"
				anglonorse = "Hamtun"
				gothic = "Norðhamtun"
				norse = "Norðhamtun"
				norsegaelic = "Norðhamtun"
				icelandic = "Norðhamtun"
				saxon = "Hamtun"
				norman = "Hante"
				welsh = "Calchwynedd"
				cumbric = "Calchwynedd"
				irish = "Cynwidion"
				breton = "Cynwidion"
				scottish = "Cynwidion"
				cornish = "Cynwidion"
				b_northampton = {
					norwegian = "Norðhamtun"
					danish = "Norðhamtun"
					swedish = "Norðhamtun"
					anglonorse = "Hamtun"
					gothic = "Norðhamtun"
					norse = "Norðhamtun"
					norsegaelic = "Norðhamtun"
					icelandic = "Norðhamtun"
					saxon = "Hamtun" # Anglo-Saxons had a hilarious issue with calling their towns 'Home Farm'
				}
				b_peterborough = {
					norwegian = "Medelhamstede"
					danish = "Medelhamstede"
					swedish = "Medelhamstede"
					anglonorse = "Medelhamstede"
					gothic = "Medelhamstede"
					norse = "Medelhamstede"
					norsegaelic = "Medelhamstede"
					icelandic = "Medelhamstede"
					saxon = "Medelhamstede"
					welsh = "Trebedr"
					cumbric = "Trebedr"
					breton = "Trebedr"
					cornish = "Trebedr"
					irish = "Trebedr"
					scottish = "Trebedr"
				}
				b_fotheringhay = {}
				b_rockingham = {}
				#b_brackley = {
				#	norwegian = "Brachelai"
				#	danish = "Brachelai"
				#	swedish = "Brachelai"
				#	anglonorse = "Brachelai"
				#	gothic = "Brachelai"
				#	norse = "Brachelai"
				#	norsegaelic = "Brachelai"
				#	icelandic = "Brachelai"
				#	saxon = "Brachelai"
				#	norman = "Brackele"
				#}
				#b_corby = { norman = "Corbei" }
				#b_wellingborough = {
				#	norwegian = "Wendelingborg"
				#	danish = "Wendelingburgh"
				#	swedish = "Wendelingborg"
				#	anglonorse = "Wendelingborg"
				#	gothic = "Wendelingborg"
				#	norse = "Wendelingborg"
				#	norsegaelic = "Wendelingborg"
				#	icelandic = "Wendelingborg"
				#	saxon = "Wendelingburg"
				#}
				#b_kettering = {
				#	norwegian = "Kyteringas"
				#	danish = "Kyteringas"
				#	swedish = "Kyteringas"
				#	anglonorse = "Kyteringas"
				#	gothic = "Kyteringas"
				#	norse = "Kyteringas"
				#	norsegaelic = "Kyteringas"
				#	icelandic = "Kyteringas"
				#	saxon = "Kyteringas"
				#}
				#b_barnwell = {}
				#b_long_buckby = { norman = "Buchebei" }
			} # end c_northampton
			c_bedford = { # Bedford (69)
				color = { 241 30 30 }
				color2 = { 255 255 255 }
				norwegian = "Beadanford"
				danish = "Beadanford"
				swedish = "Beadanford"
				anglonorse = "Beadanforda"
				gothic = "Beadanford"
				norse = "Beadanford"
				norsegaelic = "Beadanford"
				icelandic = "Beadanford"
				saxon = "Beadanforda"
				b_bedford = {
					norwegian = "Beadanford"
					danish = "Beadanford"
					swedish = "Beadanford"
					anglonorse = "Beadanforda"
					gothic = "Beadanford"
					norse = "Beadanford"
					norsegaelic = "Beadanford"
					icelandic = "Beadanford"
					saxon = "Beadanforda"
				}
				b_ampthill = {
					norwegian = "Aemethyll"
					danish = "Aemethyll"
					swedish = "Aemethyll"
					anglonorse = "Aemethyll"
					gothic = "Aemethyll"
					norse = "Aemethyll"
					norsegaelic = "Aemethyll"
					icelandic = "Aemethyll"
					saxon = "Aemethyll"
					norman = "Ammetelle"
				}
				b_flitwick = {
					saxon = "Flitwic"
					anglonorse = "Flitwic"
				}
				b_luton = {
					norwegian = "Luntun"
					danish = "Luntun"
					swedish = "Luntun"
					anglonorse = "Luntun"
					gothic = "Luntun"
					norse = "Luntun"
					norsegaelic = "Luntun"
					icelandic = "Luntun"
					saxon = "Luntun"
					norman = "Lintone"
				}
				#b_great_barford = {}
				#b_gannock = {}
				#b_dunstable = {}
				#b_woburn = {}
				#b_leighton = {
				#	norwegian = "Leahtun"
				#	danish = "Leahtun"
				#	swedish = "Leahtun"
				#	anglonorse = "Leahtun"
				#	gothic = "Leahtun"
				#	norse = "Leahtun"
				#	norsegaelic = "Leahtun"
				#	icelandic = "Leahtun"
				#	saxon = "Leahtun"
				#}
				#b_westoning = {
				#	norwegian = "Westun"
				#	danish = "Westun"
				#	swedish = "Westun"
				#	anglonorse = "Westun"
				#	gothic = "Westun"
				#	norse = "Westun"
				#	norsegaelic = "Westun"
				#	icelandic = "Westun"
				#	saxon = "Westun"
				#	norman = "Weston"
				#}
			} # end c_bedford
			c_huntingdon = { # Huntingdon (1412)
				color = { 241 90 35 }
				color2 = { 255 255 255 }
				norwegian = "Huntandun"
				danish = "Huntandun"
				swedish = "Huntandun"
				anglonorse = "Huntandun"
				gothic = "Huntandun"
				norse = "Huntandun"
				norsegaelic = "Huntandun"
				icelandic = "Huntandun"
				saxon = "Huntandun"
				b_huntingdon = {
					norwegian = "Huntandun"
					danish = "Huntandun"
					swedish = "Huntandun"
					anglonorse = "Huntandun"
					gothic = "Huntandun"
					norse = "Huntandun"
					norsegaelic = "Huntandun"
					icelandic = "Huntandun"
					saxon = "Huntandun"
				}
				b_ramsey = {
					saxon = "Ramseg"
					anglonorse = "Ramseg"
				}
				b_st_ives = {
					saxon = "Slepe"
					anglonorse = "Slepe"
				}
				#b_godmanchester = {
				#	norwegian = "Godmundceaster"
				#	danish = "Godmundceaster"
				#	swedish = "Godmundceaster"
				#	anglonorse = "Godmundceaster"
				#	gothic = "Godmundceaster"
				#	norse = "Godmundceaster"
				#	norsegaelic = "Godmundceaster"
				#	icelandic = "Godmundceaster"
				#	saxon = "Godmundceaster"
				#}
			} # end c_huntingdon
			c_bucks = { # Buckingham (974)
				color = { 235 95 15 }
				color2 = { 255 255 255 }
				norwegian = "Buccingaham"
				danish = "Buccingaham"
				swedish = "Buccingaham"
				anglonorse = "Buccingaham"
				gothic = "Buccingaham"
				norse = "Buccingaham"
				norsegaelic = "Buccingaham"
				icelandic = "Buccingaham"
				saxon = "Buccingaham"
				b_buckingham = {
					norwegian = "Buccingaham"
					danish = "Buccingaham"
					swedish = "Buccingaham"
					anglonorse = "Buccingaham"
					gothic = "Buccingaham"
					norse = "Buccingaham"
					norsegaelic = "Buccingaham"
					icelandic = "Buccingaham"
					saxon = "Buccingaham"
				}
				b_aylesbury = {
					norwegian = "Æglesborg"
					danish = "Æglesburgh"
					swedish = "Æglesborg"
					anglonorse = "Æglesburh"
					gothic = "Æglesborg"
					norse = "Æglesborg"
					norsegaelic = "Æglesborg"
					icelandic = "Æglesborg"
					saxon = "Æglesburh" # ? one would assume it should be Æglesbyrig #-byrig is dative case, should be burh
				}
				b_bradwell = {
					norwegian = "Brádwelle"
					danish = "Brádwelle"
					swedish = "Brádwelle"
					anglonorse = "Bradwelle"
					gothic = "Brádwelle"
					norse = "Brádwelle"
					norsegaelic = "Brádwelle"
					icelandic = "Brádwelle"
					saxon = "Bradwelle"
					norman = "Bradewelle"
				}
				b_wycombe = {
					norwegian = "Wicumun"
					danish = "Wicumun"
					swedish = "Wicumun"
					anglonorse = "Wicumun"
					gothic = "Wicumun"
					norse = "Wicumun"
					norsegaelic = "Wicumun"
					icelandic = "Wicumun"
					saxon = "Wicumun"
				}
				#b_amersham = {
				#	norwegian = "Egmondesham"
				#	danish = "Egmondesham"
				#	swedish = "Egmondesham"
				#	anglonorse = "Egmondesham"
				#	gothic = "Egmondesham"
				#	norse = "Egmondesham"
				#	norsegaelic = "Egmondesham"
				#	icelandic = "Egmondesham"
				#	saxon = "Egmondesham"
				#	norman = "Elmodesham"
				#}
				#b_beaconsfield = {}
				#b_castlethorpe = {}
				#b_wolverton = {
				#	norwegian = "Wulfhereingtun"
				#	danish = "Wulfhereingtun"
				#	swedish = "Wulfhereingtun"
				#	anglonorse = "Wulfhereingtun"
				#	gothic = "Wulfhereingtun"
				#	norse = "Wulfhereingtun"
				#	norsegaelic = "Wulfhereingtun"
				#	icelandic = "Wulfhereingtun"
				#	saxon = "Wulfhereingtun"
				#	norman = "Wluerintone"
				#}
			} # end c_bucks
			c_oxford = { # Oxford (22)
				color = { 255 115 15 }
				color2 = { 255 255 255 }
				norwegian = "Oxnaford"
				danish = "Oxnaford"
				swedish = "Oxnaford"
				anglonorse = "Oxenaforda"
				gothic = "Oxnaford"
				norse = "Oxnaford"
				norsegaelic = "Oxnaford"
				icelandic = "Oxnaford"
				saxon = "Oxenaforda"
				welsh = "Rhydychen"
				cumbric = "Rhydychen"
				breton = "Rhydychen"
				cornish = "Rhydychen"
				irish = "Rhydychen"
				scottish = "Rhydychen"
				b_oxford = {
					norwegian = "Oxnaford"
					danish = "Oxnaford"
					swedish = "Oxnaford"
					anglonorse = "Oxenaforda"
					gothic = "Oxnaford"
					norse = "Oxnaford"
					norsegaelic = "Oxnaford"
					icelandic = "Oxnaford"
					saxon = "Oxenaforda"
					welsh = "Rhydychen"
					cumbric = "Rhydychen"
					breton = "Rhydychen"
					cornish = "Rhydychen"
					irish = "Rhydychen"
					scottish = "Rhydychen"
				}
				b_banbury = {
					norwegian = "Banesborg"
					danish = "Banesburgh"
					swedish = "Banesborg"
					anglonorse = "Banesburh"
					gothic = "Banesborg"
					norse = "Banesborg"
					norsegaelic = "Banesborg"
					icelandic = "Banesborg"
					saxon = "Banesburh"
					norman = "Banesberie"
				}
				b_thame = {}
				b_witney = {
					norwegian = "Wyttannige"
					danish = "Wyttannige"
					swedish = "Wyttannige"
					anglonorse = "Wyttannige"
					gothic = "Wyttannige"
					norse = "Wyttannige"
					norsegaelic = "Wyttannige"
					icelandic = "Wyttannige"
					saxon = "Wyttannige"
					norman = "Witenie"
				}
				b_hook_norton = {
					norwegian = "Hocceneretune"
					danish = "Hocceneretune"
					swedish = "Hocceneretune"
					anglonorse = "Hocceneretune"
					gothic = "Hocceneretune"
					norse = "Hocceneretune"
					norsegaelic = "Hocceneretune"
					icelandic = "Hocceneretune"
					saxon = "Hocceneretun"
					norman = "Hochenartone"
				}
				#b_rewley = {}
				#b_kidlington = {
				#	norwegian = "Cudelingatun"
				#	danish = "Cudelingatun"
				#	swedish = "Cudelingatun"
				#	anglonorse = "Cudelingatun"
				#	gothic = "Cudelingatun"
				#	norse = "Cudelingatun"
				#	norsegaelic = "Cudelingatun"
				#	icelandic = "Cudelingatun"
				#	saxon = "Cudelingatun"
				#	norman = "Chedelintone"
				#}
				#b_watlington = {}
				#b_shirburn = {}
				#b_bramton = {}
				#b_chipping_norton = {}
				#b_charlbury = {
				#	norwegian = "Ceorlborg"
				#	danish = "Ceorlburgh"
				#	swedish = "Ceorlborg"
				#	anglonorse = "Ceorlborg"
				#	gothic = "Ceorlborg"
				#	norse = "Ceorlborg"
				#	norsegaelic = "Ceorlborg"
				#	icelandic = "Ceorlborg"
				#	saxon = "Ceorlburh"
				#}
				#b_eynsham = {}
			} # end c_oxford
		} # end d_bedford
		d_essex = { # Essex
			color = { 172 99 22 }
			color2 = { 255 255 255 }
			capital = 72 # Essex
			norwegian = "Austseaxe"
			danish = "Austseaxe"
			swedish = "Austseaxe"
			anglonorse = "Eastseaxe"
			gothic = "Austseaxe"
			norse = "Austseaxe"
			norsegaelic = "Austseaxe"
			icelandic = "Austseaxe"
			saxon = "Eastseaxe"
			welsh = "Caer Colun"
			cumbric = "Caer Colun"
			cornish = "Caer Colun"
			breton = "Caer Colun"
			irish = "Caer Colun"
			scottish = "Caer Colun"
			c_middlesex = { # Middlesex (32)
				color = { 241 90 35 }
				color2 = { 255 255 255 }
				norwegian = "Miðseaxe"
				danish = "Miðseaxe"
				swedish = "Miðseaxe"
				anglonorse = "Middelseaxe"
				gothic = "Miðseaxe"
				norse = "Miðseaxe"
				norsegaelic = "Miðseaxe"
				icelandic = "Miðseaxe"
				saxon = "Middelseaxe"
				welsh = "Caer Llundain"
				cumbric = "Caer Llundain"
				cornish = "Caer Lundein"
				breton = "Caer Lundein"
				irish = "Caer Lundein"
				scottish = "Caer Lundein"
				roman = "Londinium"
				greek = "Londinion"
				holy_site = aztec
				holy_site = aztec_reformed
				b_westminster = {
					norwegian = "þorney"
					danish = "þorney"
					swedish = "þorney"
					anglonorse = "Thornigeoth"
					gothic = "þorney"
					norse = "þorney"
					norsegaelic = "þorney"
					icelandic = "þorney"
					saxon = "Thornigeoth"
					norman = "Westmoutiers"
				}
				b_london = {
					norwegian = "Lundúnir"
					danish = "Lundúnir"
					swedish = "Lundúnir"
					anglonorse = "Lundunwic"
					gothic = "Lundene"
					norse = "Lundúnir"
					norsegaelic = "Lundúnir"
					icelandic = "Lundene"
					saxon = "Lundunwic"
					norman = "Londres"
					welsh = "Llundain"
					cumbric = "Llundain"
					breton = "Lundein"
					cornish = "Lundein"
					irish = "Lundein"
					scottish = "Lundein"
					roman = "Londinium"
					greek = "Londinion"
				}
				b_st_pauls = {}
				b_tower_of_london = {
					norwegian = "Hvítrgnæfa"
					danish = "Hvítrgnæfa"
					swedish = "Hvítrgnæfa"
					anglonorse = "Lundenburh"
					gothic = "Hvítrgnæfa"
					norse = "Hvítrgnæfa"
					norsegaelic = "Hvítrgnæfa"
					icelandic = "Hvítrgnæfa"
					saxon = "Lundenburh"
					norman = "Tour Blanche"
				}
				b_isleworth = {
					norwegian = "Gislhere"
					danish = "Gislhere"
					swedish = "Gislhere"
					anglonorse = "Gislhere"
					gothic = "Gislhere"
					norse = "Gislhere"
					norsegaelic = "Gislhere"
					icelandic = "Gislhere"
					saxon = "Gislhere"
					norman = "Gistelesworde"
				}
				b_fullham = {
					norwegian = "Fulanhamme"
					danish = "Fulanhamme"
					swedish = "Fulanhamme"
					anglonorse = "Fulanham"
					gothic = "Fulanhamme"
					norse = "Fulanhamme"
					norsegaelic = "Fulanhamme"
					icelandic = "Fulanhamme"
					saxon = "Fulanham"
				}
				#b_baynardscastle = { norman = "Bainiardus" }
				#b_kensington = {
				#	norwegian = "Kenesignetun"
				#	danish = "Kenesignetun"
				#	swedish = "Kenesignetun"
				#	anglonorse = "Kenesignetun"
				#	gothic = "Kenesignetun"
				#	norse = "Kenesignetun"
				#	norsegaelic = "Kenesignetun"
				#	icelandic = "Kenesignetun"
				#	saxon = "Kenesignetun"
				#	norman = "Chenesitone"
				#} # They serve an epic iced tea in the orangerie of Kensington garden.
				#b_chelsea = {
				#	norwegian = "Chelchith"
				#	danish = "Chelchith"
				#	swedish = "Chelchith"
				#	anglonorse = "Chelchith"
				#	gothic = "Chelchith"
				#	norse = "Chelchith"
				#	norsegaelic = "Chelchith"
				#	icelandic = "Chelchith"
				#	saxon = "Chelchith"
				#}
			} # end c_middlesex
			c_essex = { # Essex (72)
				color = { 241 25 25 }
				color2 = { 255 255 255 }
				norwegian = "Austseaxe"
				danish = "Austseaxe"
				swedish = "Austseaxe"
				anglonorse = "Eastseaxe"
				gothic = "Austseaxe"
				norse = "Austseaxe"
				norsegaelic = "Austseaxe"
				icelandic = "Austseaxe"
				saxon = "Eastseaxe"
				welsh = "Caer Colun"
				cumbric = "Caer Colun"
				cornish = "Caer Colun"
				breton = "Caer Colun"
				irish = "Caer Colun"
				scottish = "Caer Colun"
				roman = "Camulodunum"
				greek = "Camulodunon"
				b_colchester = {
					norwegian = "Colneceastre"
					danish = "Colneceastre"
					swedish = "Colneceastre"
					anglonorse = "Colneceaster"
					gothic = "Colneceastre"
					norse = "Colneceastre"
					norsegaelic = "Colneceastre"
					icelandic = "Colneceastre"
					saxon = "Colneceaster"
					welsh = "Caer Colun"
					cumbric = "Caer Colun"
					cornish = "Caer Colun"
					breton = "Caer Colun"
					irish = "Caer Colun"
					scottish = "Caer Colun"
					roman = "Camulodunum"
					greek = "Camulodunon"
				}
				b_hedingham = {}
				b_maldon = {
					norwegian = "Maeldun"
					danish = "Maeldun"
					swedish = "Maeldun"
					anglonorse = "Maeldun"
					gothic = "Maeldun"
					norse = "Maeldun"
					norsegaelic = "Maeldun"
					icelandic = "Maeldun"
					saxon = "Maeldun"
				}
				b_pleshey = {}
				b_rayleigh = {}
				b_hadleigh = {}
				#b_havering = {
				#	norwegian = "Hæferingas"
				#	danish = "Hæferingas"
				#	swedish = "Hæferingas"
				#	anglonorse = "Hæferingas"
				#	gothic = "Hæferingas"
				#	norse = "Hæferingas"
				#	norsegaelic = "Hæferingas"
				#	icelandic = "Hæferingas"
				#	saxon = "Hæferingas"
				#	norman = "Haueringas"
				#}
				#b_dunmow = {
				#	norwegian = "Dunemowe"
				#	danish = "Dunemowe"
				#	swedish = "Dunemowe"
				#	anglonorse = "Dunemowe"
				#	gothic = "Dunemowe"
				#	norse = "Dunemowe"
				#	norsegaelic = "Dunemowe"
				#	icelandic = "Dunemowe"
				#	saxon = "Dunemowe"
				#}
				#b_walden = {}
				#b_watford = {
				#	norwegian = "Albanestou"
				#	danish = "Albanestou"
				#	swedish = "Albanestou"
				#	anglonorse = "Albanestou"
				#	gothic = "Albanestou"
				#	norse = "Albanestou"
				#	norsegaelic = "Albanestou"
				#	icelandic = "Albanestou"
				#	saxon = "Albanestou"
				#	norman = "Cashio"
				#}
			} # end c_essex
			c_hertford = { # Hertford (1410)
				color = { 235 95 15 }
				color2 = { 255 255 255 }
				norwegian = "Heortford"
				danish = "Heortford"
				swedish = "Heortford"
				anglonorse = "Heortforda"
				gothic = "Heortford"
				norse = "Heortford"
				norsegaelic = "Heortford"
				icelandic = "Heortford"
				saxon = "Heortforda"
				roman = "Verulamium"
				greek = "Ourolanion"
				b_hertford = {
					norwegian = "Heortford"
					danish = "Heortford"
					swedish = "Heortford"
					anglonorse = "Heortforda"
					gothic = "Heortford"
					norse = "Heortford"
					norsegaelic = "Heortford"
					icelandic = "Heortford"
					saxon = "Heortforda"
				}
				b_berkhamsted = {
					norwegian = "Beorhoanstadde"
					danish = "Beorhoanstadde"
					swedish = "Beorhoanstadde"
					anglonorse = "Beorchamstæd"
					gothic = "Beorhoanstadde"
					norse = "Beorhoanstadde"
					norsegaelic = "Beorhoanstadde"
					icelandic = "Beorhoanstadde"
					saxon = "Beorchamstæd"
					norman = "Berkhampsede"
				}
				b_tring = {
					norwegian = "Trehangr"
					danish = "Trehangr"
					swedish = "Trehangr"
					anglonorse = "Trehangr"
					gothic = "Trehangr"
					norse = "Trehangr"
					norsegaelic = "Trehangr"
					icelandic = "Trehangr"
					saxon = "Trehangr"
				}
				b_st_albans = {
					norwegian = "Wæclingacaester"
					danish = "Wæclingacaester"
					swedish = "Wæclingacaester"
					anglonorse = "Wæclingacaester"
					gothic = "Wæclingacaester"
					norse = "Wæclingacaester"
					norsegaelic = "Wæclingacaester"
					icelandic = "Wæclingacaester"
					saxon = "Wæclingacaester"
					welsh = "Verlamion"
					cumbric = "Verlamion"
					scottish = "Verlamion"
					breton = "Verlamion"
					cornish = "Verlamion"
					irish = "Verlamion"
					roman = "Verulamium"
					greek = "Ourolanion"
				}
				#b_hemel_hempstead = {
				#	norwegian = "Henamsted"
